"TIME","GEO","NACE_R2","WSTATUS","WORKTIME","UNIT","Value","Flag and Footnotes"
"2014","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","30,672.3",""
"2014","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","177.6",""
"2014","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,626.6",""
"2014","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,534.5",""
"2014","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","690.2",""
"2014","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","25,930.7","b"
"2015","Belgium","Total - all NACE activities","Employed persons","Total","Thousand","4,551.6",""
"2015","Bulgaria","Total - all NACE activities","Employed persons","Total","Thousand","3,031.9",""
"2015","Czech Republic","Total - all NACE activities","Employed persons","Total","Thousand","5,041.9",""
"2015","Denmark","Total - all NACE activities","Employed persons","Total","Thousand","2,752.0",""
"2015","Germany (until 1990 former territory of the FRG)","Total - all NACE activities","Employed persons","Total","Thousand","40,210.9",""
"2015","Estonia","Total - all NACE activities","Employed persons","Total","Thousand","640.9",""
"2015","Ireland","Total - all NACE activities","Employed persons","Total","Thousand","1,963.6",""
"2015","Greece","Total - all NACE activities","Employed persons","Total","Thousand","3,610.7",""
"2015","Spain","Total - all NACE activities","Employed persons","Total","Thousand","17,866.0",""
"2015","France","Total - all NACE activities","Employed persons","Total","Thousand","26,423.7",""
"2015","Croatia","Total - all NACE activities","Employed persons","Total","Thousand","1,585.3",""
"2015","Italy","Total - all NACE activities","Employed persons","Total","Thousand","22,464.8",""
"2015","Cyprus","Total - all NACE activities","Employed persons","Total","Thousand","358.2",""
"2015","Latvia","Total - all NACE activities","Employed persons","Total","Thousand","896.1",""
"2015","Lithuania","Total - all NACE activities","Employed persons","Total","Thousand","1,334.9",""
"2015","Luxembourg","Total - all NACE activities","Employed persons","Total","Thousand","257.5","b"
"2015","Hungary","Total - all NACE activities","Employed persons","Total","Thousand","4,210.5",""
"2015","Malta","Total - all NACE activities","Employed persons","Total","Thousand","185.9",""
"2015","Netherlands","Total - all NACE activities","Employed persons","Total","Thousand","8,318.7",""
"2015","Austria","Total - all NACE activities","Employed persons","Total","Thousand","4,148.3",""
"2015","Poland","Total - all NACE activities","Employed persons","Total","Thousand","16,083.9",""
"2015","Portugal","Total - all NACE activities","Employed persons","Total","Thousand","4,548.7",""
"2015","Romania","Total - all NACE activities","Employed persons","Total","Thousand","8,535.4",""
"2015","Slovenia","Total - all NACE activities","Employed persons","Total","Thousand","917.4",""
"2015","Slovakia","Total - all NACE activities","Employed persons","Total","Thousand","2,424.0",""
"2015","Finland","Total - all NACE activities","Employed persons","Total","Thousand","2,436.8",""
"2015","Sweden","Total - all NACE activities","Employed persons","Total","Thousand","4,836.8",""
"2015","United Kingdom","Total - all NACE activities","Employed persons","Total","Thousand","31,204.9",""
"2015","Iceland","Total - all NACE activities","Employed persons","Total","Thousand","183.6",""
"2015","Norway","Total - all NACE activities","Employed persons","Total","Thousand","2,641.0",""
"2015","Switzerland","Total - all NACE activities","Employed persons","Total","Thousand","4,600.1",""
"2015","Former Yugoslav Republic of Macedonia, the","Total - all NACE activities","Employed persons","Total","Thousand","706.0",""
"2015","Turkey","Total - all NACE activities","Employed persons","Total","Thousand","26,618.5",""
